"","Product","Sub.issue","Company"
"30","Student loan","Repaying your loan","Navient Solutions, Inc."
"42","Student loan","Repaying your loan","Navient Solutions, Inc."
"54","Student loan","Repaying your loan","Discover"
"133","Student loan","Repaying your loan","Navient Solutions, Inc."
"167","Student loan","Repaying your loan","PNC Bank N.A."
"207","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"212","Student loan","Repaying your loan","Navient Solutions, Inc."
"228","Student loan","Repaying your loan","Navient Solutions, Inc."
"266","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"346","Student loan","Repaying your loan","Navient Solutions, Inc."
"426","Student loan","Repaying your loan","Navient Solutions, Inc."
"500","Student loan","Getting a loan","Discover"
"571","Student loan","Problems when you are unable to pay","Citibank"
"578","Student loan","Repaying your loan","Navient Solutions, Inc."
"585","Student loan","Repaying your loan","Navient Solutions, Inc."
"588","Student loan","Repaying your loan","Primary Financial Services L.L.C."
"670","Student loan","Repaying your loan","Navient Solutions, Inc."
"729","Student loan","Problems when you are unable to pay","SIMM Associates, Inc."
"738","Student loan","Repaying your loan","Sallie Mae"
"744","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"823","Student loan","Repaying your loan","Navient Solutions, Inc."
"875","Student loan","Repaying your loan","Navient Solutions, Inc."
"901","Student loan","Repaying your loan","AES/PHEAA"
"911","Student loan","Repaying your loan","Navient Solutions, Inc."
"996","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"1045","Student loan","Repaying your loan","Expert Global Solutions, Inc."
"1117","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"1143","Student loan","Repaying your loan","Citibank"
"1166","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"1186","Student loan","Repaying your loan","Navient Solutions, Inc."
"1190","Student loan","Repaying your loan","Navient Solutions, Inc."
"1277","Student loan","Repaying your loan","Navient Solutions, Inc."
"1357","Student loan","Repaying your loan","Navient Solutions, Inc."
"1358","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"1500","Student loan","Repaying your loan","Navient Solutions, Inc."
"1587","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"1596","Student loan","Repaying your loan","Navient Solutions, Inc."
"1709","Student loan","Repaying your loan","National Enterprise Systems, Inc."
"1720","Student loan","Repaying your loan","Wells Fargo & Company"
"1725","Student loan","Repaying your loan","Navient Solutions, Inc."
"1761","Student loan","Repaying your loan","Navient Solutions, Inc."
"1770","Student loan","Repaying your loan","Discover"
"1792","Student loan","Problems when you are unable to pay","Sallie Mae"
"1852","Student loan","Repaying your loan","Navient Solutions, Inc."
"1858","Student loan","Repaying your loan","Navient Solutions, Inc."
"1864","Student loan","Repaying your loan","Citibank"
"1922","Student loan","Repaying your loan","Iowa Student Loan"
"1994","Student loan","Repaying your loan","Navient Solutions, Inc."
"2037","Student loan","Repaying your loan","Navient Solutions, Inc."
"2044","Student loan","Repaying your loan","Access Group"
"2117","Student loan","Repaying your loan","Nelnet"
"2122","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"2214","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"2299","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"2304","Student loan","Repaying your loan","Navient Solutions, Inc."
"2350","Student loan","Repaying your loan","Navient Solutions, Inc."
"2391","Student loan","Problems when you are unable to pay","Citibank"
"2434","Student loan","Repaying your loan","Navient Solutions, Inc."
"2477","Student loan","Repaying your loan","ACS Education Services"
"2531","Student loan","Repaying your loan","Discover"
"2536","Student loan","Problems when you are unable to pay","AES/PHEAA"
"2606","Student loan","Repaying your loan","JPMorgan Chase & Co."
"2629","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"2659","Student loan","Repaying your loan","Navient Solutions, Inc."
"2663","Student loan","Repaying your loan","Navient Solutions, Inc."
"2720","Student loan","Repaying your loan","Navient Solutions, Inc."
"2760","Student loan","Repaying your loan","Sallie Mae"
"2822","Student loan","Repaying your loan","Allied Interstate LLC"
"2829","Student loan","Repaying your loan","AES/PHEAA"
"2838","Student loan","Repaying your loan","Higher Education Student Assistance Authority (HESAA)"
"2944","Student loan","Repaying your loan","Wells Fargo & Company"
"2963","Student loan","Repaying your loan","JPMorgan Chase & Co."
"2996","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"3006","Student loan","Problems when you are unable to pay","AES/PHEAA"
"3086","Student loan","Repaying your loan","Navient Solutions, Inc."
"3101","Student loan","Problems when you are unable to pay","Expert Global Solutions, Inc."
"3144","Student loan","Repaying your loan","Navient Solutions, Inc."
"3193","Student loan","Repaying your loan","Navient Solutions, Inc."
"3195","Student loan","Problems when you are unable to pay","KeyBank NA"
"3234","Student loan","Repaying your loan","Navient Solutions, Inc."
"3355","Student loan","Repaying your loan","Navient Solutions, Inc."
"3400","Student loan","Repaying your loan","Navient Solutions, Inc."
"3458","Student loan","Repaying your loan","AES/PHEAA"
"3466","Student loan","Repaying your loan","Bank of America"
"3481","Student loan","Repaying your loan","Navient Solutions, Inc."
"3515","Student loan","Repaying your loan","Navient Solutions, Inc."
"3558","Student loan","Repaying your loan","Navient Solutions, Inc."
"3589","Student loan","Problems when you are unable to pay","AES/PHEAA"
"3593","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"3600","Student loan","Repaying your loan","Navient Solutions, Inc."
"3717","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"3753","Student loan","Problems when you are unable to pay","KeyBank NA"
"3761","Student loan","Repaying your loan","MRS BPO, L.L.C."
"3890","Student loan","Repaying your loan","Navient Solutions, Inc."
"3984","Student loan","Repaying your loan","Navient Solutions, Inc."
"3987","Student loan","Repaying your loan","Navient Solutions, Inc."
"4004","Student loan","Repaying your loan","JPMorgan Chase & Co."
"4095","Student loan","Repaying your loan","Navient Solutions, Inc."
"4114","Student loan","Problems when you are unable to pay","Wells Fargo & Company"
"4117","Student loan","Problems when you are unable to pay","AES/PHEAA"
"4167","Student loan","Repaying your loan","Navient Solutions, Inc."
"4208","Student loan","Repaying your loan","Navient Solutions, Inc."
"4217","Student loan","Repaying your loan","Navient Solutions, Inc."
"4240","Student loan","Repaying your loan","Navient Solutions, Inc."
"4252","Student loan","Repaying your loan","Navient Solutions, Inc."
"4258","Student loan","Repaying your loan","Navient Solutions, Inc."
"4260","Student loan","Repaying your loan","Navient Solutions, Inc."
"4261","Student loan","Repaying your loan","ACS Education Services"
"4266","Student loan","Repaying your loan","Sallie Mae"
"4377","Student loan","Repaying your loan","Navient Solutions, Inc."
"4410","Student loan","Problems when you are unable to pay","Citibank"
"4486","Student loan","Repaying your loan","Discover"
"4498","Student loan","Repaying your loan","AES/PHEAA"
"4583","Student loan","Problems when you are unable to pay","Expert Global Solutions, Inc."
"4607","Student loan","Can't get flexible payment options","Brazos Higher Education Servicing"
