"Provider.Number","Communication.with.Nurses.Achievement.Points","Communication.with.Nurses.Improvement.Points","Communication.with.Nurses.Dimension.Score","Communication.with.Doctors.Achievement.Points","Communication.with.Doctors.Improvement.Points","Communication.with.Doctors.Dimension.Score","Responsiveness.of.Hospital.Staff.Achievement.Points","Responsiveness.of.Hospital.Staff.Improvement.Points","Responsiveness.of.Hospital.Staff.Dimension.Score","Pain.Management.Achievement.Points","Pain.Management.Improvement.Points","Pain.Management.Dimension.Score","Communication.about.Medicines.Achievement.Points","Communication.about.Medicines.Improvement.Points","Communication.about.Medicines.Dimension.Score","Cleanliness.and.Quietness.of.Hospital.Environment.Achievement.Points","Cleanliness.and.Quietness.of.Hospital.Environment.Improvement.Points","Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score","Discharge.Information.Achievement.Points","Discharge.Information.Improvement.Points","Discharge.Information.Dimension.Score","Overall..Rating.of.Hospital.Achievement.Points","Overall.Rating.of.Hospital.Improvement.Points","Overall.Rating.of.Hospital.Dimension.Score","HCAHPS.Base.Score","HCAHPS.Consistency.Score","IMM.2.Performance.Rate","IMM.2.Achievement.Points","IMM.2.Improvement.Points","IMM.2.Measure.Score","Preventive.Condition.Procedure.Score","Hospital.Name","State","Start.Date","End.Date","Excess.Readmission.Ratio.READM.30.AMI.HRRP","Excess.Readmission.Ratio.READM.30.COPD.HRRP","Excess.Readmission.Ratio.READM.30.HF.HRRP","Excess.Readmission.Ratio.READM.30.HIP.KNEE.HRRP","Excess.Readmission.Ratio.READM.30.PN.HRRP","Address","City","ZIP.Code","County.Name","MORT.30.AMI.Performance.Rate","MORT.30.AMI.Achievement.Points","MORT.30.AMI.Improvement.Points","MORT.30.AMI.Measure.Score","MORT.30.HF.Performance.Rate","MORT.30.HF.Achievement.Points","MORT.30.HF.Improvement.Points","MORT.30.HF.Measure.Score","MORT.30.PN.Performance.Rate","MORT.30.PN.Achievement.Points","MORT.30.PN.Improvement.Points","MORT.30.PN.Measure.Score","PSI.90.Performance.Rate","PSI.90.Achievement.Points","PSI.90.Improvement.Points","PSI.90.Measure.Score","HAI.1.Performance.Rate","HAI.1.Achievement.Points","HAI.1.Improvement.Points","HAI.1.Measure.Score","HAI.2.Performance.Rate","HAI.2.Achievement.Points","HAI.2.Improvement.Points","HAI.2.Measure.Score","Combined.SSI.Measure.Score","HAI.3.Performance.Rate","HAI.3.Achievement.Points","HAI.3.Improvement.Points","HAI.3.Measure.Score","HAI.4.Performance.Rate","HAI.4.Achievement.Points","HAI.4.Improvement.Points","HAI.4.Measure.Score","Location"
10011,0,0,0,0.3,0.111111111111111,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.222222222222222,0.2,0,0,0,5,16,0.87361,0,0,0,0,"ST VINCENT'S EAST","AL","07/01/2011","06/30/2014",2114,1323,810,3252,1338,"50 MEDICAL PARK EAST DRIVE","Birmingham","35235","JEFFERSON",0.87557,1,1,1,0.873947,0,0,0,0.857396,0,0.444444444444444,0.4,0.465977,0.9,1,0.9,0.466,0,0.444444444444444,0.4,0.567,0.3,0,0.3,0.1,0.649,0.1,0,0.1,1.596,0,0,0,"50 MEDICAL PARK EAST DRIVE
Birmingham, AL 35235
"
10024,0.2,0.111111111111111,0.2,0.4,0,0.4,0,0,0,0.2,0,0.2,0.5,0.111111111111111,0.5,0.2,0,0.2,0,0.333333333333333,0.3,0.1,0,0.1,19,18,0.97697,0.8,0.555555555555556,0.8,8,"JACKSON HOSPITAL & CLINIC INC","AL","07/01/2011","06/30/2014",1167,903,1029,3316,1192,"1725 PINE STREET","Montgomery","36106","MONTGOMERY",0.858307,0.7,0.888888888888889,0.8,0.900859,1,1,1,0.864309,0,0.333333333333333,0.3,0.35605,1,1,1,0.673,0,0.333333333333333,0.3,1.784,0,0,0,0.3,0.91,0,0,0,0,1,0,1,"1725 PINE STREET
Montgomery, AL 36106
(32.366605, -86.285278)"
10029,0.3,0,0.3,0.6,0,0.6,0.2,0,0.2,0.1,0,0.1,0.3,0,0.3,0.4,0,0.4,0.5,0,0.5,0.2,0,0.2,26,20,0.92211,0.2,0.777777777777778,0.7,7,"EAST ALABAMA MEDICAL CENTER","AL","07/01/2011","06/30/2014",2191,1237,1974,3444,767,"2000 PEPPERELL PARKWAY","Opelika","36801","LEE",0.86568,1,1,1,0.876815,0,0.111111111111111,0.1,0.872763,0,0,0,0.395219,1,1,1,1.422,0,0,0,0.713,0.1,0.666666666666667,0.6,0.4,0.68,0,0,0,0,1,1,1,"2000 PEPPERELL PARKWAY
Opelika, AL 36801
(32.638138, -85.403112)"
10033,0.7,0.444444444444444,0.7,0.5,0.333333333333333,0.5,0.2,0,0.2,0.6,0,0.6,0.6,0.222222222222222,0.6,0.5,0.333333333333333,0.5,0.4,0.444444444444444,0.4,0.9,0.555555555555556,0.9,44,20,0.92857,0.3,0.666666666666667,0.6,6,"UNIVERSITY OF ALABAMA HOSPITAL","AL","07/01/2011","06/30/2014",2899,2140,2592,3670,3282,"619 SOUTH 19TH STREET","Birmingham","35249","JEFFERSON",0.875962,1,1,1,0.889023,0.4,0.444444444444444,0.4,0.896026,0.6,0.777777777777778,0.7,0.501609,0.7,0.888888888888889,0.8,0.626,0,0.333333333333333,0.3,1.309,0,0,0,0.2,0.961,0,0,0,0.276,0.6,0.333333333333333,0.6,"619 SOUTH 19TH STREET
Birmingham, AL 35249
(33.533411, -86.704736)"
10039,0.3,0.111111111111111,0.3,0.2,0,0.2,0.1,0,0.1,0.2,0.111111111111111,0.2,0.4,0,0.4,0.4,0,0.4,0.5,0.444444444444444,0.5,0.4,0,0.4,25,20,0.96303,0.7,0.333333333333333,0.7,7,"HUNTSVILLE HOSPITAL","AL","07/01/2011","06/30/2014",1195,1274,1569,3221,1600,"101 SIVLEY RD","Huntsville","35801","MADISON",0.872118,1,1,1,0.882847,0.1,0.666666666666667,0.6,0.882606,0,0.666666666666667,0.6,0.482941,0.8,0.777777777777778,0.8,0.875,0,0.444444444444444,0.4,0.878,0,0.333333333333333,0.3,0.2,0.983,0,0,0,0.327,0.6,0.444444444444444,0.6,"101 SIVLEY RD
Huntsville, AL 35801
(34.721067, -86.582196)"
10055,0.4,0,0.4,0.5,0,0.5,0.2,0,0.2,0.3,0,0.3,0.4,0,0.4,0.4,0,0.4,0.6,0,0.6,0.6,0,0.6,34,20,1,1,0,1,10,"FLOWERS HOSPITAL","AL","07/01/2011","06/30/2014",2175,1256,2027,1601,1472,"4370 WEST MAIN STREET","Dothan","36302","HOUSTON",0.842433,0,0,0,0.88203,0.1,0,0.1,0.911808,1,1,1,0.496953,0.7,0,0.7,0.291,0.4,0,0.4,1.41,0,0,0,0.3,0.745,0,0.222222222222222,0.2,0.492,0.4,0.444444444444444,0.4,"4370 WEST MAIN STREET
Dothan, AL 36302
(31.235991, -85.457937)"
10056,0.4,0.111111111111111,0.4,0.5,0,0.5,0.2,0.111111111111111,0.2,0.4,0.111111111111111,0.4,0.3,0.222222222222222,0.3,0.1,0.111111111111111,0.1,0.5,0.555555555555556,0.5,0.6,0.111111111111111,0.6,30,20,0.96914,0.7,0.888888888888889,0.8,8,"ST VINCENT'S BIRMINGHAM","AL","07/01/2011","06/30/2014",3047,1639,1811,3536,1154,"810 ST VINCENT'S DRIVE","Birmingham","35205","JEFFERSON",0.860039,0.8,0.888888888888889,0.8,0.877869,0,0.222222222222222,0.2,0.903101,0.9,1,0.9,0.591701,0.2,0.444444444444444,0.4,0.352,0.3,0.222222222222222,0.3,0.478,0.4,0.222222222222222,0.4,0.1,0.83,0,0,0,0.468,0.4,0,0.4,"810 ST VINCENT'S DRIVE
Birmingham, AL 35205
(33.507948, -86.788627)"
10090,0,0.222222222222222,0.2,0.2,0,0.2,0.3,0.333333333333333,0.3,0.1,0.111111111111111,0.1,0.4,0.555555555555556,0.5,0.1,0.222222222222222,0.2,0.1,0.222222222222222,0.2,0.2,0.111111111111111,0.2,19,19,0.98505,0.9,0.222222222222222,0.9,9,"PROVIDENCE HOSPITAL","AL","07/01/2011","06/30/2014",2244,1630,929,3583,2723,"6801 AIRPORT BOULEVARD","Mobile","36608","MOBILE",0.845588,0,0.333333333333333,0.3,0.874749,0,0.222222222222222,0.2,0.888167,0.3,0,0.3,0.555031,0.4,0.444444444444444,0.4,0.068,0.8,0.333333333333333,0.8,0.468,0.4,0,0.4,0.3,1.068,0,0,0,0,1,1,1,"6801 AIRPORT BOULEVARD
Mobile, AL 36608
(30.682265, -88.199618)"
10092,0.4,0,0.4,0.3,0,0.3,0,0,0,0.3,0,0.3,0.3,0,0.3,0.1,0,0.1,0,0,0,0.1,0,0.1,15,18,0.9749,0.8,1,0.9,9,"D C H REGIONAL MEDICAL CENTER","AL","07/01/2011","06/30/2014",3133,1534,1942,3516,2743,"809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","35401","TUSCALOOSA",0.853359,0.4,0.777777777777778,0.7,0.875117,0,0.111111111111111,0.1,0.880012,0,0,0,0.540535,0.5,0.333333333333333,0.5,0.343,0.3,0,0.3,1.24,0,0,0,0,1.638,0,0,0,0.652,0.2,0,0.2,"809 UNIVERSITY BOULEVARD EAST
Tuscaloosa, AL 35401
(33.206164, -87.52551)"
10113,0.4,0,0.4,0.3,0,0.3,0.2,0,0.2,0.3,0,0.3,0.6,0,0.6,0.3,0.222222222222222,0.3,0.3,0.333333333333333,0.3,0.3,0,0.3,27,20,0.98669,0.9,1,0.9,9,"MOBILE INFIRMARY","AL","07/01/2011","06/30/2014",2006,2924,2589,3391,2007,"5 MOBILE INFIRMARY CIRCLE","Mobile","36607","MOBILE",0.853438,0.4,0.666666666666667,0.6,0.894244,0.7,0,0.7,0.876718,0,0.333333333333333,0.3,0.686803,0,0,0,0.513,0,0,0,0.645,0.2,0.333333333333333,0.3,0.2,1.061,0,0,0,0,1,1,1,"5 MOBILE INFIRMARY CIRCLE
Mobile, AL 36607
(30.696591, -88.081622)"
